id,classification,sequence,excelRow,title,filename,status
R-A-1,1,1,3,地下水宫 Basilica Cistern,1-1.jpg,matched-by-user-key
R-A-2,1,2,4,凯鲁万阿格拉比蓄水池 Aghlabid Basins,1-2.png,matched-by-user-key
R-A-3,1,3,5,Palombaro Lungo 大水窖,1-3.png,matched-by-user-key
R-A-4,1,4,6,马泰拉 Sassi 民居水窖网络,1-4.png,matched-by-user-key
R-A-5,1,5,7,伊朗 Ab Anbar 地下水库,1-5.png,matched-by-user-key
R-A-6,1,6,8,芍陂／安丰塘,1-6.jpg,matched-by-user-key
R-A-7,1,7,9,甘肃“121”雨水集流工程,1-7.jpg,matched-by-user-key
R-A-8,1,8,10,百慕大屋顶—水窖系统,1-8.jpg,matched-by-user-key
R-A-9,1,9,11,纽约木质屋顶水箱,1-9.jpg,matched-by-user-key
R-A-10,1,10,12,科威特水塔群,1-10.png,matched-by-user-key
R-A-11,1,11,13,Dholavira 石砌蓄水系统,1-11.png,matched-by-user-key
R-A-12,1,12,14,Jhalra Baori 阶梯井,1-12.png,matched-by-user-key
R-A-13,1,13,15,Marina Barrage,1-13.png,matched-by-user-key
R-A-14,1,14,16,Hoover Dam / Lake Mead,1-14.jpg,matched-by-user-key
R-B-1,2,1,18,Rani ki Vav 王后阶井,2-1.png,matched-by-user-key
R-B-2,2,2,19,Chand Baori 月亮水井,2-2.png,matched-by-user-key
R-B-3,2,3,20,Surya Kund 太阳水池,2-3.jpg,matched-by-user-key
R-B-5,2,5,22,Dowlat Abad Garden,2-5.jpg,matched-by-user-key
R-B-7,2,7,26,Shalimar Gardens Lahore,2-7.jpg,matched-by-user-key
R-B-9,2,9,28,Patio de la Acequia 水渠中庭,2-9.jpg,matched-by-user-key
R-B-10,2,10,29,卡纳克神庙圣湖,2-10.jpg,matched-by-user-key
R-B-11,2,11,30,吴哥西池 West Baray,2-11.jpg,matched-by-user-key
R-B-12,2,12,31,Amrit Sarovar 金庙圣池,2-12.jpg,matched-by-user-key
R-B-15,2,15,34,桂离宫园池,2-15.jpg,matched-by-user-key
R-B-16,2,16,35,Benthemplein Water Square,2-16.png,matched-by-user-key
R-B-17,2,17,36,Enghaveparken Climate Park,2-17.png,matched-by-user-key
R-B-18,2,18,37,哈尔滨群力雨洪公园 Qunli Stormwater Park,2-18.png,matched-by-user-key
R-B-19,2,19,38,天津桥园公园 Qiaoyuan Park,2-19.png,matched-by-user-key
R-B-20,2,20,39,沣西新城中心绿廊,2-20.png,matched-by-user-key
R-C-1,3,1,55,斯里兰卡串联水塘村落系统 Cascaded Tank-Village System,3-1.png,matched-by-user-key
R-C-2,3,2,56,舒什塔尔历史水利系统 Shushtar Historical Hydraulic System,3-2.webp,matched-by-user-key
R-C-3,3,3,57,伊朗 Āb-anbār 地下蓄水系统,3-3.jpg,matched-by-user-key
R-C-4,3,4,58,Monticello Dam “Morning Glory” 溢洪道,3-4.jpg,matched-by-user-key
R-C-5,3,5,59,Dinorwig 抽水蓄能系统,3-5.jpg,matched-by-user-key
R-C-6,3,6,60,首都圈外郭放水路 G-Cans,3-6.png,matched-by-user-key
R-C-7,3,7,61,香港跑马地地下蓄洪计划 HVUSSS,3-7.jpg,matched-by-user-key
R-C-8,3,8,62,Marina Barrage 滨海堤坝,3-8.png,matched-by-user-key
R-C-9,3,9,63,NEWater 水循环系统,3-9.jpg,matched-by-user-key
R-C-10,3,10,64,Orange County Groundwater Replenishment System,3-10.webp,matched-by-user-key
R-C-11,3,11,65,佩特拉 Petra 纳巴泰水管理系统,3-11.png,matched-by-user-key
R-C-12,3,12,66,秘鲁 Amunas“播种水”系统,3-12.jpg,matched-by-user-key
R-C-13,3,13,67,Kruisplein 地下蓄水系统,3-13.jpg,matched-by-user-key
R-D-1,4,1,104,Rachel Whiteread《Water Tower》,4-1.png,matched-by-user-key
R-D-2,4,2,105,Leandro Erlich《The Swimming Pool》,4-2.jpg,matched-by-user-key
R-D-3,4,3,106,安藤忠雄 本福寺水御堂 Honpukuji Water Temple,4-3.jpg,matched-by-user-key
R-D-4,4,4,107,Buffalo Bayou Park Cistern,4-4.jpg,matched-by-user-key
R-D-5,4,5,108,Cisternerne 哥本哈根地下水库,4-5.jpg,matched-by-user-key
R-D-6,4,6,109,Jeppe Hein《Appearing Rooms》,4-6.jpg,matched-by-user-key
R-D-7,4,7,110,Random International《Rain Room》,4-7.jpeg,matched-by-user-key
R-D-8,4,8,111,Olafur Eliasson《Riverbed》,4-8.webp,matched-by-user-key
R-D-9,4,9,112,三分一博志《The Naoshima Plan “The Water”》,4-9.jpg,matched-by-user-key
